"Part";"Value";"Device";"Package";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MFG";"MFG_PN";"PART_TYPE";"PRICE";"TOLLERANCE";"VALUE";"VENDOR";"VENDOR_PART_NUMBER";
"C1";"220pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"n.a.";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"n.a.";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"n.a.";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"n.a.";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"470nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"470nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"B240A";"DIODE_SCHTKY_B240";"DO-214AC";"";"";"DIODE SMD General Purpose 400V 1A 1.4W RoHS DO-214AC";"DO-214AC";"http://www.digikey.com/product-detail/en/B240A-13-F/B240A-FDICT-ND/717810";"DIGIKEY";"B240A-FDICT-ND";"DIODE";"0.11";"";"B240A";"DIODES";"B240A-13-F";
"D2";"B240A";"DIODE_SCHTKY_B240";"DO-214AC";"";"";"DIODE SMD General Purpose 400V 1A 1.4W RoHS DO-214AC";"DO-214AC";"http://www.digikey.com/product-detail/en/B240A-13-F/B240A-FDICT-ND/717810";"DIGIKEY";"B240A-FDICT-ND";"DIODE";"0.11";"";"B240A";"DIODES";"B240A-13-F";
"J1";"2X20-CHIP0.8_DRILL";"2X20-CHIP0.8_DRILL";"2X20CHIP_NOOFFSET-TH_0.8";"Through hole layout with chip reference";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"S2B-PH-SM4-TB";"S2B-PH-SM4-TB";"S2B-PH-SM4-TB";"";"";"2 pin con, 2MM RA, SMD";"S2B-PH-SM4-TB";"http://www.digikey.com/product-detail/en/S2B-PH-SM4-TB(LF)(SN)/455-1749-1-ND/926846";"DIGIKEY";"455-1749-1-ND";"CON";"0.26";"";"";"JST";"S2B-PH-SM4-TB(LF)(SN)";
"L+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"L-";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"SRN6045-100M";"SRN6045-100M";"SRN6045";"";"";"power inductor 10uH 2.5A 58.6 mohm";"SRN6045";"http://www.digikey.com/product-detail/en/SRN6045-100M/SRN6045-100MTR-ND/2756120";"DIGIKEY";"SRN6045-100MTR-ND";"IND";"0.15";"±20%";"";"BOURNS";"SRN6045-100M";
"L2";"SRN6045-100M";"SRN6045-100M";"SRN6045";"";"";"power inductor 10uH 2.5A 58.6 mohm";"SRN6045";"http://www.digikey.com/product-detail/en/SRN6045-100M/SRN6045-100MTR-ND/2756120";"DIGIKEY";"SRN6045-100MTR-ND";"IND";"0.15";"±20%";"";"BOURNS";"SRN6045-100M";
"LG";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"LI";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"LO";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"PAM1";"";"PAM8403";"SOP-16";"Dual channel audio amplifier IC - PAM8403";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"NPN-DTC114YUA";"NPN-DTC114YUA";"SOT323";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"PNP-DTA114YUA";"PNP-DTA114YUA";"SOT323";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"R-";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"100K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"31.6k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"2.21k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"12k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"4.7K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"1.2K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"RG";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"RI";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"RO";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"SDIO";"TF-HOLDER";"TF-HOLDER";"TF-PULL";"TF / Micro SD socket is PUSH-PUSH type, the card can be pushed into and auto locked and pushed out by simply press the card.";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPER_2WAYT";"SJ_2";"Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO2_10X10_SILK";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"LOGO_NO_TRASHROHS";"LOGO_NO_TRASHROHS";"LOGO_ROHS_SYM";"";"";"";"";"";"";"";"";"";"";"";"";"";
